(?)        <tip>douteux</tip> (349)
1p.        <tip>1er personne</tip> (50)
2p.        <tip>2e personne, etc</tip> (132)
3p.        <tip>3e personne, etc</tip> (255)
A.         <tip>Adjectif</tip> (37)
a.         <tip>adjectif</tip> (5163)
a1.        <tip>aoriste 1er</tip> (402)
a2.        <tip>aoriste 2nd</tip> (132)
A2.        <tip>aoriste 2nd</tip> (7)
ab.        <tip>ablatif</tip> (89)
Ab.        <tip>Ablatif</tip> (1)
abs.       <TIP></TIP> (1)
abslt.     <TIP></TIP> (1)
Absolt.    <TIP></TIP> (5)
absolt.    <TIP></TIP> (1)
abst.      <TIP></TIP> (1)
Abst.      <TIP></TIP> (2)
ac.        <tip>accusatif</tip> (669)
Ac.        <tip>Accusatif</tip> (25)
acc.       <TIP></TIP> (1)
act.       <tip>actif</tip> (28)
Act.       <tip>actif</tip> (17)
Actt.      <tip>activement</tip> (24)
actt.      <tip>activement</tip> (5)
adj.       <TIP></TIP> (1)
Adjectt.   <TIP></TIP> (1)
Adjt.      <TIP></TIP> (6)
adjt.      <TIP></TIP> (1)
adv.       <tip>adverbe</tip> (426)
Adv.       <TIP></TIP> (25)
Advt.      <TIP></TIP> (1)
advt.      <tip>adverbialement</tip> (6)
afghan.    <TIP></TIP> (1)
anat.      <tip>anatomie</tip> (3)
anc. germ. <TIP></TIP> (3)
Ancien germ. <TIP></TIP> (1)
ancien germ. <TIP></TIP> (5)
ang.       <TIP></TIP> (22)
Ang.       <TIP></TIP> (9)
Angl.      <tip>anglais (English)</tip> (12)
angl.      <tip>anglais (English)</tip> (63)
Angl. sax. <TIP></TIP> (1)
anglo sax. <TIP></TIP> (1)
Anglosaxon <TIP></TIP> (1)
aor.       <TIP></TIP> (2)
Aor.       <TIP></TIP> (2)
arab.      <TIP></TIP> (1)
arith.     <TIP></TIP> (5)
arithm.    <TIP></TIP> (4)
astr.      <tip>astronomie</tip> (10)
astron.    <TIP></TIP> (4)
aug.       <tip>augmentatif</tip> (418)
Aug.       <TIP></TIP> (1)
auj.       <TIP></TIP> (29)
bd.        <tip>bouddhique</tip> (1)
Bd.        <tip>bouddhique</tip> (281)
bot.       <tip>botanique</tip> (2166)
bret.      <TIP></TIP> (3)
Breton     <TIP></TIP> (1)
breton.    <TIP></TIP> (1)
c-à-d.     <tip>c’est-à-dire</tip> (246)
C.         <TIP></TIP> (6)
c.         <tip>causatif</tip> (1067)
cf.        <tip>comparez; confer</tip> (2220)
Cf.        <tip>Comparez; Confer</tip> (766)
ch.        <TIP></TIP> (45)
Cl.        <tip>classe</tip> (4)
cl.        <tip>classe</tip> (2)
comm.      <TIP></TIP> (1)
comp.      <tip>comparatif</tip> (46)
Comp.      <TIP></TIP> (7)
compar.    <TIP></TIP> (1)
compos.    <tip>composition, composés</tip> (89)
composit.  <tip>composition</tip> (2)
conj.      <tip>conjonction</tip> (12)
conjf.     <tip>conjonctif</tip> (1)
conjug.    <TIP></TIP> (1)
Crét.      <TIP></TIP> (1)
d.         <tip>datif</tip> (94)
dan.       <TIP></TIP> (1)
dat.       <TIP></TIP> (2)
dém.       <tip>démonstratif</tip> (4)
dén.       <tip>dénominatif</tip> (75)
den.       <TIP></TIP> (26)
dénom.     <TIP></TIP> (107)
dénomin.   <TIP></TIP> (8)
dériv.     <TIP></TIP> (1)
Dés.       <tip>désidératif</tip> (1)
dés.       <tip>désidératif</tip> (464)
distr.     <TIP></TIP> (1)
dor.       <TIP></TIP> (1)
Du.        <TIP></TIP> (1)
du.        <tip>duel</tip> (77)
E.         <TIP></TIP> (2)
ép.        <tip>épithète</tip> (93)
Ep.        <TIP></TIP> (16)
Esp.       <tip>Espèce</tip> (232)
